Freq.	V(vout3)/(V(vp)-V(vm))
1.86208713666286e-001	(9.73131704590062e+000dB,-1.06210145523659e+001°)
1.90546071796324e-001	(1.01366352572007e+001dB,-1.08781207892509e+001°)
1.94984459975804e-001	(1.05421918096538e+001dB,-1.11419162095572e+001°)
1.99526231496887e-001	(1.09479966879384e+001dB,-1.14126073843478e+001°)
2.04173794466952e-001	(1.13540602174933e+001dB,-1.16904093992629e+001°)
2.08929613085403e-001	(1.17603930668744e+001dB,-1.19755463249041e+001°)
2.13796208950222e-001	(1.21670062482414e+001dB,-1.22682517182165e+001°)
2.18776162394954e-001	(1.25739111171492e+001dB,-1.25687691570259e+001°)
2.23872113856833e-001	(1.29811193689817e+001dB,-1.28773528100515e+001°)
2.29086765276776e-001	(1.33886430338793e+001dB,-1.31942680448552e+001°)
2.34422881531991e-001	(1.37964944691434e+001dB,-1.35197920763431e+001°)
2.39883291901948e-001	(1.42046863478851e+001dB,-1.38542146586170e+001°)
2.45470891568502e-001	(1.46132316453349e+001dB,-1.41978388231095e+001°)
2.51188643150957e-001	(1.50221436194536e+001dB,-1.45509816661454e+001°)
2.57039578276885e-001	(1.54314357884571e+001dB,-1.49139751892142e+001°)
2.63026799189537e-001	(1.58411219021088e+001dB,-1.52871671954267e+001°)
2.69153480392690e-001	(1.62512159075722e+001dB,-1.56709222457868e+001°)
2.75422870333815e-001	(1.66617319071515e+001dB,-1.60656226790892e+001°)
2.81838293126444e-001	(1.70726841103438e+001dB,-1.64716696993652e+001°)
2.88403150312659e-001	(1.74840867734210e+001dB,-1.68894845349705e+001°)
2.95120922666637e-001	(1.78959541329008e+001dB,-1.73195096734681e+001°)
3.01995172040200e-001	(1.83083003238237e+001dB,-1.77622101765456e+001°)
3.09029543251358e-001	(1.87211392867756e+001dB,-1.82180750792200e+001°)
3.16227766016837e-001	(1.91344846587350e+001dB,-1.86876188775009e+001°)
3.23593656929627e-001	(1.95483496479020e+001dB,-1.91713831085852e+001°)
3.31131121482590e-001	(1.99627468889742e+001dB,-1.96699380273840e+001°)
3.38844156139201e-001	(2.03776882748332e+001dB,-2.01838843827942e+001°)
3.46736850452530e-001	(2.07931847659664e+001dB,-2.07138552966126e+001°)
3.54813389233574e-001	(2.12092461697778e+001dB,-2.12605182471739e+001°)
3.63078054770100e-001	(2.16258808898704e+001dB,-2.18245771588046e+001°)
3.71535229097171e-001	(2.20430956378885e+001dB,-2.24067745968156e+001°)
3.80189396320559e-001	(2.24608951053882e+001dB,-2.30078940660085e+001°)
3.89045144994279e-001	(2.28792815912686e+001dB,-2.36287624084267e+001°)
3.98107170553495e-001	(2.32982545769345e+001dB,-2.42702522932693e+001°)
4.07380277804111e-001	(2.37178102433691e+001dB,-2.49332847883194e+001°)
4.16869383470333e-001	(2.41379409255639e+001dB,-2.56188319978765e+001°)
4.26579518801591e-001	(2.45586344915751e+001dB,-2.63279197466692e+001°)
4.36515832240164e-001	(2.49798736437707e+001dB,-2.70616302826579e+001°)
4.46683592150961e-001	(2.54016351277930e+001dB,-2.78211049633931e+001°)
4.57088189614873e-001	(2.58238888419566e+001dB,-2.86075468808027e+001°)
4.67735141287196e-001	(2.62465968354596e+001dB,-2.94222233673696e+001°)
4.78630092322636e-001	(2.66697121836601e+001dB,-3.02664683124255e+001°)
4.89778819368444e-001	(2.70931777296506e+001dB,-3.11416842003029e+001°)
5.01187233627270e-001	(2.75169246775432e+001dB,-3.20493437621353e+001°)
5.12861383991362e-001	(2.79408710272742e+001dB,-3.29909911095111e+001°)
5.24807460249770e-001	(2.83649198371645e+001dB,-3.39682421909751e+001°)
5.37031796370250e-001	(2.87889573038889e+001dB,-3.49827843809257e+001°)
5.49540873857622e-001	(2.92128506520457e+001dB,-3.60363749748154e+001°)
5.62341325190346e-001	(2.96364458229020e+001dB,-3.71308383246298e+001°)
5.75439937337154e-001	(3.00595649652304e+001dB,-3.82680613047639e+001°)
5.88843655355586e-001	(3.04820037254466e+001dB,-3.94499867513820e+001°)
6.02559586074355e-001	(3.09035283553049e+001dB,-4.06786044694242e+001°)
6.16595001861479e-001	(3.13238726536661e+001dB,-4.19559393528787e+001°)
6.30957344480190e-001	(3.17427347796964e+001dB,-4.32840361189873e+001°)
6.45654229034652e-001	(3.21597739890298e+001dB,-4.46649401201923e+001°)
6.60693448007592e-001	(3.25746073660683e+001dB,-4.61006736753004e+001°)
6.76082975391978e-001	(3.29868066506083e+001dB,-4.75932073614939e+001°)
6.91830970918933e-001	(3.33958952825382e+001dB,-4.91444257417070e+001°)
7.07945784384134e-001	(3.38013458267710e+001dB,-5.07560870798006e+001°)
7.24435960074986e-001	(3.42025779691070e+001dB,-5.24297767326679e+001°)
7.41310241300913e-001	(3.45989573142066e+001dB,-5.41668541185389e+001°)
7.58577575029179e-001	(3.49897952493499e+001dB,-5.59683934584947e+001°)
7.76247116628687e-001	(3.53743501626579e+001dB,-5.78351188840717e+001°)
7.94328234724277e-001	(3.57518303259705e+001dB,-5.97673350027953e+001°)
8.12830516164095e-001	(3.61213987461156e+001dB,-6.17648546092233e+001°)
8.31763771102666e-001	(3.64821802695989e+001dB,-6.38269259009268e+001°)
8.51138038202372e-001	(3.68332711586195e+001dB,-6.59521622660583e+001°)
8.70963589956076e-001	(3.71737512719826e+001dB,-6.81384783889446e+001°)
8.91250938133740e-001	(3.75026988443914e+001dB,-7.03830369869639e+001°)
9.12010839355904e-001	(3.78192076807578e+001dB,-7.26822108424777e+001°)
9.33254300796986e-001	(3.81224063835198e+001dB,-7.50315648172903e+001°)
9.54992586021430e-001	(3.84114790023870e+001dB,-7.74258621335268e+001°)
9.77237220955805e-001	(3.86856862869577e+001dB,-7.98590983058360e+001°)
9.99999999999994e-001	(3.89443865343270e+001dB,-8.23245647031458e+001°)
1.02329299228075e+000	(3.91870549127628e+001dB,-8.48149418671062e+001°)
1.04712854805089e+000	(3.94133001103192e+001dB,-8.73224205654957e+001°)
1.07151930523760e+000	(3.96228772421404e+001dB,-8.98388463339786e+001°)
1.09647819614318e+000	(3.98156961429666e+001dB,-9.23558812273354e+001°)
1.12201845430196e+000	(3.99918244610211e+001dB,-9.48651749333728e+001°)
1.14815362149688e+000	(4.01514853347537e+001dB,-9.73585365235769e+001°)
1.17489755493952e+000	(4.02950498159458e+001dB,-9.98280980538884e+001°)
1.20226443461741e+000	(4.04230245763909e+001dB,-1.02266461996719e+002°)
1.23026877081237e+000	(4.05360357302540e+001dB,-1.04666825966430e+002°)
1.25892541179416e+000	(4.06348098259160e+001dB,-1.07023080182572e+002°)
1.28824955169313e+000	(4.07201531432912e+001dB,-1.09329875329465e+002°)
1.31825673855640e+000	(4.07929304370229e+001dB,-1.11582660645665e+002°)
1.34896288259165e+000	(4.08540441421910e+001dB,-1.13777693981334e+002°)
1.38038426460288e+000	(4.09044149036121e+001dB,-1.15912027037741e+002°)
1.41253754462275e+000	(4.09449640597418e+001dB,-1.17983469975454e+002°)
1.44543977074592e+000	(4.09765985037521e+001dB,-1.19990540049281e+002°)
1.47910838816820e+000	(4.10001981269366e+001dB,-1.21932398959616e+002°)
1.51356124843620e+000	(4.10166058731664e+001dB,-1.23808783299529e+002°)
1.54881661891247e+000	(4.10266202949806e+001dB,-1.25619931934232e+002°)
1.58489319246110e+000	(4.10309903944088e+001dB,-1.27366513480351e+002°)
1.62181009735892e+000	(4.10304124783982e+001dB,-1.29049556344651e+002°)
1.65958690743755e+000	(4.10255287196104e+001dB,-1.30670383101951e+002°)
1.69824365246173e+000	(4.10169271186956e+001dB,-1.32230550383733e+002°)
1.73780082874936e+000	(4.10051425706243e+001dB,-1.33731794935366e+002°)
1.77827941003891e+000	(4.09906587679008e+001dB,-1.35175986089397e+002°)
1.81970085860997e+000	(4.09739107080011e+001dB,-1.36565084591117e+002°)
1.86208713666286e+000	(4.09552876036875e+001dB,-1.37901107490764e+002°)
1.90546071796323e+000	(4.09351360337081e+001dB,-1.39186098670383e+002°)
1.94984459975803e+000	(4.09137632050040e+001dB,-1.40422104487949e+002°)
1.99526231496887e+000	(4.08914402202398e+001dB,-1.41611153982894e+002°)
2.04173794466952e+000	(4.08684052807348e+001dB,-1.42755243082790e+002°)
2.08929613085403e+000	(4.08448667638953e+001dB,-1.43856322270875e+002°)
2.13796208950222e+000	(4.08210061429097e+001dB,-1.44916287209161e+002°)
2.18776162394954e+000	(4.07969807224367e+001dB,-1.45936971855924e+002°)
2.23872113856832e+000	(4.07729261772509e+001dB,-1.46920143664847e+002°)
2.29086765276776e+000	(4.07489588908746e+001dB,-1.47867500501815e+002°)
2.34422881531990e+000	(4.07251780958333e+001dB,-1.48780668963075e+002°)
2.39883291901947e+000	(4.07016678195887e+001dB,-1.49661203822587e+002°)
2.45470891568501e+000	(4.06784986476789e+001dB,-1.50510588377047e+002°)
2.51188643150956e+000	(4.06557293125232e+001dB,-1.51330235493298e+002°)
2.57039578276884e+000	(4.06334081225023e+001dB,-1.52121489194895e+002°)
2.63026799189536e+000	(4.06115742406244e+001dB,-1.52885626652340e+002°)
2.69153480392690e+000	(4.05902588276390e+001dB,-1.53623860465704e+002°)
2.75422870333815e+000	(4.05694860605936e+001dB,-1.54337341148540e+002°)
2.81838293126443e+000	(4.05492740391794e+001dB,-1.55027159739826e+002°)
2.88403150312658e+000	(4.05296355893259e+001dB,-1.55694350484767e+002°)
2.95120922666636e+000	(4.05105789757996e+001dB,-1.56339893537890e+002°)
3.01995172040199e+000	(4.04921085325895e+001dB,-1.56964717651792e+002°)
3.09029543251357e+000	(4.04742252201984e+001dB,-1.57569702823318e+002°)
3.16227766016835e+000	(4.04569271154374e+001dB,-1.58155682875851e+002°)
3.23593656929626e+000	(4.04402098449656e+001dB,-1.58723447961952e+002°)
3.31131121482589e+000	(4.04240669656743e+001dB,-1.59273746975099e+002°)
3.38844156139200e+000	(4.04084902974547e+001dB,-1.59807289863066e+002°)
3.46736850452529e+000	(4.03934702180251e+001dB,-1.60324749838205e+002°)
3.54813389233573e+000	(4.03789959174641e+001dB,-1.60826765482414e+002°)
3.63078054770098e+000	(4.03650556240660e+001dB,-1.61313942746238e+002°)
3.71535229097170e+000	(4.03516367992874e+001dB,-1.61786856843021e+002°)
3.80189396320558e+000	(4.03387263076671e+001dB,-1.62246054040057e+002°)
3.89045144994278e+000	(4.03263105652854e+001dB,-1.62692053349606e+002°)
3.98107170553494e+000	(4.03143756684184e+001dB,-1.63125348123010e+002°)
4.07380277804109e+000	(4.03029075038971e+001dB,-1.63546407551790e+002°)
4.16869383470332e+000	(4.02918918449595e+001dB,-1.63955678079656e+002°)
4.26579518801589e+000	(4.02813144337890e+001dB,-1.64353584729647e+002°)
4.36515832240162e+000	(4.02711610508596e+001dB,-1.64740532350666e+002°)
4.46683592150959e+000	(4.02614175754470e+001dB,-1.65116906787573e+002°)
4.57088189614871e+000	(4.02520700358442e+001dB,-1.65483075979136e+002°)
4.67735141287194e+000	(4.02431046519119e+001dB,-1.65839390987770e+002°)
4.78630092322634e+000	(4.02345078711334e+001dB,-1.66186186965254e+002°)
4.89778819368442e+000	(4.02262663964719e+001dB,-1.66523784057920e+002°)
5.01187233627268e+000	(4.02183672120878e+001dB,-1.66852488255324e+002°)
5.12861383991361e+000	(4.02107976005509e+001dB,-1.67172592185649e+002°)
5.24807460249768e+000	(4.02035451593475e+001dB,-1.67484375861267e+002°)
5.37031796370248e+000	(4.01965978111159e+001dB,-1.67788107377590e+002°)
5.49540873857620e+000	(4.01899438129623e+001dB,-1.68084043568159e+002°)
5.62341325190344e+000	(4.01835717608935e+001dB,-1.68372430618793e+002°)
5.75439937337152e+000	(4.01774705936268e+001dB,-1.68653504643512e+002°)
5.88843655355584e+000	(4.01716295942805e+001dB,-1.68927492224602e+002°)
6.02559586074353e+000	(4.01660383887759e+001dB,-1.69194610919246e+002°)
6.16595001861477e+000	(4.01606869443883e+001dB,-1.69455069734816e+002°)
6.30957344480188e+000	(4.01555655670587e+001dB,-1.69709069575052e+002°)
6.45654229034650e+000	(4.01506648958365e+001dB,-1.69956803658814e+002°)
6.60693448007590e+000	(4.01459758988485e+001dB,-1.70198457913380e+002°)
6.76082975391976e+000	(4.01414898665253e+001dB,-1.70434211343908e+002°)
6.91830970918931e+000	(4.01371984061110e+001dB,-1.70664236380597e+002°)
7.07945784384132e+000	(4.01330934330040e+001dB,-1.70888699205066e+002°)
7.24435960074984e+000	(4.01291671651882e+001dB,-1.71107760057291e+002°)
7.41310241300911e+000	(4.01254121142714e+001dB,-1.71321573524337e+002°)
7.58577575029177e+000	(4.01218210777627e+001dB,-1.71530288812158e+002°)
7.76247116628685e+000	(4.01183871316912e+001dB,-1.71734050001513e+002°)
7.94328234724275e+000	(4.01151036216862e+001dB,-1.71932996289021e+002°)
8.12830516164092e+000	(4.01119641548075e+001dB,-1.72127262214372e+002°)
8.31763771102664e+000	(4.01089625917247e+001dB,-1.72316977874566e+002°)
8.51138038202369e+000	(4.01060930383081e+001dB,-1.72502269125977e+002°)
8.70963589956073e+000	(4.01033498369711e+001dB,-1.72683257775144e+002°)
8.91250938133738e+000	(4.01007275600497e+001dB,-1.72860061758837e+002°)
9.12010839355902e+000	(4.00982210003014e+001dB,-1.73032795314288e+002°)
9.33254300796983e+000	(4.00958251637633e+001dB,-1.73201569140020e+002°)
9.54992586021427e+000	(4.00935352624544e+001dB,-1.73366490548003e+002°)
9.77237220955802e+000	(4.00913467066453e+001dB,-1.73527663607666e+002°)
9.99999999999991e+000	(4.00892550965103e+001dB,-1.73685189282175e+002°)
1.02329299228075e+001	(4.00872562172172e+001dB,-1.73839165557653e+002°)
1.04712854805089e+001	(4.00853460302166e+001dB,-1.73989687565587e+002°)
1.07151930523760e+001	(4.00835206665101e+001dB,-1.74136847698940e+002°)
1.09647819614318e+001	(4.00817764208127e+001dB,-1.74280735722406e+002°)
1.12201845430195e+001	(4.00801097457185e+001dB,-1.74421438877036e+002°)
1.14815362149687e+001	(4.00785172437016e+001dB,-1.74559041979730e+002°)
1.17489755493952e+001	(4.00769956625319e+001dB,-1.74693627517766e+002°)
1.20226443461740e+001	(4.00755418892892e+001dB,-1.74825275738768e+002°)
1.23026877081237e+001	(4.00741529447509e+001dB,-1.74954064736358e+002°)
1.25892541179416e+001	(4.00728259775606e+001dB,-1.75080070531733e+002°)
1.28824955169312e+001	(4.00715582592167e+001dB,-1.75203367151455e+002°)
1.31825673855639e+001	(4.00703471795804e+001dB,-1.75324026701554e+002°)
1.34896288259164e+001	(4.00691902416771e+001dB,-1.75442119438424e+002°)
1.38038426460287e+001	(4.00680850564939e+001dB,-1.75557713836368e+002°)
1.41253754462274e+001	(4.00670293392843e+001dB,-1.75670876652252e+002°)
1.44543977074591e+001	(4.00660209051552e+001dB,-1.75781672987251e+002°)
1.47910838816819e+001	(4.00650576641846e+001dB,-1.75890166346075e+002°)
1.51356124843619e+001	(4.00641376182830e+001dB,-1.75996418693520e+002°)
1.54881661891247e+001	(4.00632588565638e+001dB,-1.76100490508769e+002°)
1.58489319246110e+001	(4.00624195528463e+001dB,-1.76202440837436e+002°)
1.62181009735891e+001	(4.00616179604037e+001dB,-1.76302327341469e+002°)
1.65958690743754e+001	(4.00608524105808e+001dB,-1.76400206347129e+002°)
1.69824365246173e+001	(4.00601213069816e+001dB,-1.76496132891018e+002°)
1.73780082874936e+001	(4.00594231250741e+001dB,-1.76590160764432e+002°)
1.77827941003891e+001	(4.00587564069749e+001dB,-1.76682342555886e+002°)
1.81970085860997e+001	(4.00581197601435e+001dB,-1.76772729692237e+002°)
1.86208713666285e+001	(4.00575118535494e+001dB,-1.76861372478178e+002°)
1.90546071796323e+001	(4.00569314156136e+001dB,-1.76948320134327e+002°)
1.94984459975803e+001	(4.00563772309432e+001dB,-1.77033620834011e+002°)
1.99526231496886e+001	(4.00558481392644e+001dB,-1.77117321738821e+002°)
2.04173794466951e+001	(4.00553430314842e+001dB,-1.77199469032805e+002°)
2.08929613085402e+001	(4.00548608482554e+001dB,-1.77280107955695e+002°)
2.13796208950221e+001	(4.00544005783759e+001dB,-1.77359282834949e+002°)
2.18776162394953e+001	(4.00539612555441e+001dB,-1.77437037116797e+002°)
2.23872113856832e+001	(4.00535419568347e+001dB,-1.77513413396353e+002°)
2.29086765276775e+001	(4.00531418020337e+001dB,-1.77588453446692e+002°)
2.34422881531990e+001	(4.00527599493158e+001dB,-1.77662198247141e+002°)
2.39883291901947e+001	(4.00523955962256e+001dB,-1.77734688010806e+002°)
2.45470891568501e+001	(4.00520479759318e+001dB,-1.77805962211111e+002°)
2.51188643150956e+001	(4.00517163573977e+001dB,-1.77876059607807e+002°)
2.57039578276884e+001	(4.00514000422652e+001dB,-1.77945018272054e+002°)
2.63026799189536e+001	(4.00510983642504e+001dB,-1.78012875611066e+002°)
2.69153480392689e+001	(4.00508106883934e+001dB,-1.78079668391898e+002°)
2.75422870333814e+001	(4.00505364080596e+001dB,-1.78145432764746e+002°)
2.81838293126442e+001	(4.00502749451870e+001dB,-1.78210204285651e+002°)
2.88403150312658e+001	(4.00500257489186e+001dB,-1.78274017938623e+002°)
2.95120922666636e+001	(4.00497882933587e+001dB,-1.78336908157259e+002°)
3.01995172040199e+001	(4.00495620775501e+001dB,-1.78398908845874e+002°)
3.09029543251356e+001	(4.00493466245096e+001dB,-1.78460053400173e+002°)
3.16227766016835e+001	(4.00491414794941e+001dB,-1.78520374727400e+002°)
3.23593656929625e+001	(4.00489462091456e+001dB,-1.78579905266169e+002°)
3.31131121482588e+001	(4.00487604017271e+001dB,-1.78638677005831e+002°)
3.38844156139199e+001	(4.00485836643950e+001dB,-1.78696721505476e+002°)
